,CustomerID,Purchased_Products,Products_SKUs,Product_Categories,Product_Group
0,12346,"[""Android Men's Engineer Short Sleeve Tee Charcoal""
 'Google Stylus Pen w/ LED Light']",['GGOEAAAJ080816' 'GGOEGOAR013099'],['Apparel' 'Office'],['Android' 'Google']
1,12347,"['Four Color Retractable Pen' 'Red Spiral Google Notebook'
 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel'
 'Nest Protect Smoke + CO White Wired Alarm-USA'
 'Electronics Accessory Pouch' 'Keyboard DOT Sticker'
 'Foam Can and Bottle Cooler' 'Google 5-Panel Snapback Cap'
 '24 oz YouTube Sergeant Stripe Bottle'
 ""Google Men's Heavyweight Long Sleeve Hero Tee Navy""
 'Nest Cam Indoor Security Camera - USA'
 'Nest Cam Outdoor Security Camera - USA'
 'YouTube Leatherette Notebook Combo'
 ""Google Women's Vintage Hero Tee White""
 'Google Youth Baseball Raglan Heather/Black'
 'Nest Protect Smoke + CO White Battery Alarm-USA'
 ""Google Men's Lightweight Microfleece Jacket Black""
 ""Google Men's 100% Cotton Short Sleeve Hero Tee Navy""
 'Google Womens 3/4 Sleeve Baseball Raglan Heather/Black'
 'Google 25 oz Clear Stainless Steel Bottle' 'Maze Pen'
 'Google Doodle Decal' 'Google Twill Cap' 'Windup Android'
 'Nest Learning Thermostat 3rd Gen-USA - White'
 'Nest Learning Thermostat 3rd Gen-USA - Copper'
 ""Google Women's Short Sleeve Badge Tee Grey""
 ""Google Women's Short Sleeve Badge Tee Navy""
 ""Google Women's Yoga Jacket Black""
 ""YouTube Women's Short Sleeve Tri-blend Badge Tee Charcoal""
 'Nest Secure Alarm System Starter Pack - USA'
 ""Android Men's Vintage Tank"" ""Google Men's Quilted Insulated Vest Black""
 'Google Stylus Pen w/ LED Light' 'Android Small Removable Sticker Sheet'
 'Google Laptop and Cell Phone Stickers' 'Google Metallic Notebook Set'
 'Nest Cam IQ Outdoor - USA (Preorder)']","['GGOEGOAQ020099' 'GGOEGOCT019199' 'GGOENEBJ079499' 'GGOENEBQ079199'
 'GGOEGBFC018799' 'GGOEGFKA022299' 'GGOEGFYQ016599' 'GGOEGHPB080410'
 'GGOEYDHJ019399' 'GGOEGAEL031113' 'GGOEGAEL031114' 'GGOEGAEL031115'
 'GGOEGAEL031116' 'GGOEGAEL031117' 'GGOENEBB078899' 'GGOENEBQ078999'
 'GGOEYOLR018699' 'GGOEGALQ034213' 'GGOEGAYB068026' 'GGOENEBQ079099'
 'GGOEGADB057317' 'GGOEGAAL010614' 'GGOEGAEA030416' 'GGOEGDHG082499'
 'GGOEGGOA017399' 'GGOEGFKQ020799' 'GGOEGHPB071610' 'GGOEAKDH019899'
 'GGOENEBQ084699' 'GGOENEBD084799' 'GGOEGAEJ028116' 'GGOEGALL074616'
 'GGOEGAPB058616' 'GGOEYAEJ029516' 'GGOENEBQ092299' 'GGOEAAEJ035716'
 'GGOEGADB059618' 'GGOEGOAR013099' 'GGOEAFKA087499' 'GGOEGFKQ020399'
 'GGOEGOLC014299' 'GGOENEBQ092399']","['Office' 'Nest-USA' 'Bags' 'Drinkware' 'Headgear' 'Apparel' 'Google'
 'Lifestyle' 'Nest' 'Accessories']",['Other' 'Google' 'YouTube' 'Android']
2,12348,"['26 oz Double Wall Insulated Bottle' 'Google Stylus Pen w/ LED Light'
 'Sport Bag' 'Red Shine 15 oz Mug' 'Google Laptop and Cell Phone Stickers'
 'Google Kick Ball' 'Google Sunglasses' 'Rubber Grip Ballpoint Pen 4 Pack'
 'Recycled Paper Journal Set' 'YouTube Custom Decals'
 ""Google Men's Vintage Badge Tee Sage""
 'Google Youth Short Sleeve T-shirt Green'
 'Nest Cam Outdoor Security Camera - USA'
 'Google Youth Baseball Raglan Heather/Black'
 ""YouTube Men's Short Sleeve Hero Tee  White"" 'Google 22 oz Water Bottle'
 'Maze Pen' 'Nest Protect Smoke + CO White Battery Alarm-USA']","['GGOEGDHQ015399' 'GGOEGOAR013099' 'GGOEGBMJ013399' 'GGOEGDWR015799'
 'GGOEGFKQ020399' 'GGOEGFSR022099' 'GGOEGHGC019799' 'GGOEGHGH019699'
 'GGOEGHGR019499' 'GGOEGHGT019599' 'GGOEGOAA017199' 'GGOEGOCR017899'
 'GGOEYFKQ020699' 'GGOEGAAH034015' 'GGOEGAYH068425' 'GGOENEBQ078999'
 'GGOEGAYB068056' 'GGOEYAAQ031717' 'GGOEGDHC018299' 'GGOEGGOA017399'
 'GGOENEBQ079099']",['Drinkware' 'Office' 'Bags' 'Lifestyle' 'Apparel' 'Nest-USA'],['Other' 'Google' 'YouTube']
3,12350,"['Nest Learning Thermostat 3rd Gen-USA - Stainless Steel'
 'Nest Cam Outdoor Security Camera - CA' 'Google Crewneck Sweatshirt Navy'
 'Google Twill Cap' 'Google Snapback Black Cap' 'Google Braille Tee Black'
 ""Google Women's Tee Grey"" 'Nest Learning Thermostat 3rd Gen-USA - White'
 ""Google Women's Performance Golf Polo Blue""
 'Nest Cam Outdoor Security Camera - USA']","['GGOENEBJ079499' 'GGOENEBQ081599' 'GGOEGAEL091316' 'GGOEGHPB071610'
 'GGOEGAPB087899' 'GGOEGAEB090912' 'GGOEGAEB090914' 'GGOEGALJ091013'
 'GGOENEBQ084699' 'GGOEGAUC057714' 'GGOENEBQ078999']",['Nest-USA' 'Nest-Canada' 'Apparel' 'Headgear'],['Google']
4,12356,"[""YouTube Men's Short Sleeve Hero Tee  White"" 'Red Shine 15 oz Mug'
 ""Google Men's Airflow 1/4 Zip Pullover Lapis"" 'Nest Cam IQ - USA'
 'Nest Cam Indoor Security Camera - USA'
 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel'
 ""Android Women's Long Sleeve Blended Cardigan Grey""
 ""Google Women's Long Sleeve Blended Cardigan Charcoal""
 ""Google Women's Scoop Neck Tee Black"" ""Google Women's Tee Grey""
 ""Google Women's Short Sleeve Performance Tee Pewter""
 ""Google Women's Scoop Neck Tee White"" 'Collapsible Shopping Bag'
 'Keyboard DOT Sticker' 'Google Laptop and Cell Phone Stickers'
 'Google Doodle Decal' 'Maze Pen' 'Switch Tone Color Crayon Pen'
 'Pen Pencil & Highlighter Set' 'Colored Pencil Set'
 'Google Infant Short Sleeve Tee Red' 'Google Sunglasses'
 ""Google Women's Shell Jacket Blue/Black"" 'Android Rise 14 oz Mug'
 ""Google Men's Vintage Badge Tee Black""
 ""Google Men's Short Sleeve Performance Badge Tee Charcoal""
 ""Google Men's Vintage Badge Tee White""
 ""Google Men's Watershed Full Zip Hoodie Grey""
 'Google 17oz Stainless Steel Sport Bottle']","['GGOEYAAQ031717' 'GGOEGDWR015799' 'GGOEGADC059314' 'GGOENEBQ086499'
 'GGOENEBB078899' 'GGOENEBJ079499' 'GGOEAAEJ030916' 'GGOEGAEJ030816'
 'GGOEGALB036516' 'GGOEGALJ036416' 'GGOEGALJ060116' 'GGOEGALQ036616'
 'GGOEGBJC019999' 'GGOEGFKA022299' 'GGOEGFKQ020399' 'GGOEGFKQ020799'
 'GGOEGGOA017399' 'GGOEGKAA019299' 'GGOEGOAQ018099' 'GGOEGOBG023599'
 'GGOEGAWR061848' 'GGOEGAWR061850' 'GGOEGHGC019799' 'GGOEGHGH019699'
 'GGOEGHGR019499' 'GGOEGHGT019599' 'GGOEGAPC058814' 'GGOEADWQ015699'
 'GGOEGAAB033813' 'GGOEGAAJ057013' 'GGOEGAAQ033913' 'GGOEGADJ056813'
 'GGOEGDHC074099']",['Apparel' 'Drinkware' 'Nest' 'Nest-USA' 'Bags' 'Office' 'Lifestyle'],['YouTube' 'Other' 'Google' 'Android']
5,12359,"['Google Blackout Cap'
 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel'
 ""Google Men's Vintage Badge Tee Black""
 ""Google Men's Vintage Badge Tee White""
 ""Google Women's Short Sleeve Hero Tee Grey""
 ""Google Women's Scoop Neck Tee Black""
 ""Google Women's Short Sleeve Badge Tee Navy""
 ""Google Women's Scoop Neck Tee White""]","['GGOEGHPJ080310' 'GGOENEBJ079499' 'GGOEGAAB033813' 'GGOEGAAB033814'
 'GGOEGAAQ033913' 'GGOEGAAQ033914' 'GGOEGAAQ033915' 'GGOEGAAQ033917'
 'GGOEGAEJ028016' 'GGOEGALB036513' 'GGOEGALB036514' 'GGOEGALB036515'
 'GGOEGALB036516' 'GGOEGALL074616' 'GGOEGALQ036613' 'GGOEGALQ036614']",['Headgear' 'Nest-USA' 'Apparel'],['Google']
6,12370,"['Google 17 oz Double Wall Stainless Steel Insulated Bottle'
 '26 oz Double Wall Insulated Bottle' 'Google Sunglasses'
 'Nest Cam Indoor Security Camera - USA'
 'Google 17oz Stainless Steel Sport Bottle'
 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel'
 ""Google Men's 100% Cotton Short Sleeve Hero Tee Black""
 ""Google Women's Short Sleeve Hero Tee Black"" 'Google Baby Essentials Set'
 'Nest Cam Outdoor Security Camera - USA' 'Google 22 oz Water Bottle'
 'Ballpoint Stick Pen 4 Pack' 'Recycled Paper Journal Set'
 ""Google Men's Bike Short Sleeve Tee Charcoal""
 ""Google Men's Short Sleeve Badge Tee Charcoal""
 ""Men's Weatherblock Shell Jacket Black"" ""Google Men's  Zip Hoodie""
 'Nest Learning Thermostat 3rd Gen - CA - Stainless Steel'
 'Nest Cam Indoor Security Camera - CA'
 'Android Youth Short Sleeve T-shirt Pewter'
 'Google Youth Short Sleeve T-shirt Green'
 'Google Laptop and Cell Phone Stickers' '7&quot; Dog Frisbee'
 'Android Onesie Gold' 'Nest Cam Outdoor Security Camera - CA'
 ""Google Men's Short Sleeve Performance Badge Tee Black""
 'Electronics Accessory Pouch' 'Google Canvas Tote Natural/Navy'
 'Foam Can and Bottle Cooler' 'Maze Pen' 'Gel Roller Pen'
 'Color Changing Grip Pen' 'Google Rucksack' 'Waterproof Gear Bag'
 'Nest Learning Thermostat 3rd Gen-USA - White'
 ""Android Men's Outerstellar Short Sleeve Tee Black""
 'Google Infant Zip Hood Pink' 'Windup Android'
 'Google Stylus Pen w/ LED Light' 'Badge Holder' 'YouTube Custom Decals'
 'Insulated Bottle' 'Keyboard DOT Sticker' 'Google Leather Journal-Black'
 'Nest Protect Smoke + CO White Battery Alarm-USA'
 'Google Spiral Leather Journal'
 ""Google Women's Vintage Hero Tee Lavender""
 ""Android Men's Skater Badge Tee Charcoal"" '22 oz Android Bottle'
 'Android Sticker Sheet Ultra Removable' 'Ballpoint LED Light Pen'
 ""YouTube Men's Short Sleeve Hero Tee Black""
 'Nest Learning Thermostat 3rd Gen-USA - Copper']","['GGOEGDHJ082599' 'GGOEGDHQ015399' 'GGOEGHGC019799' 'GGOEGHGH019699'
 'GGOEGHGR019499' 'GGOEGHGT019599' 'GGOENEBB078899' 'GGOEGDHC074099'
 'GGOENEBJ079499' 'GGOEGAAB010516' 'GGOEGAAB010517' 'GGOEGAEB027815'
 'GGOEGAWQ062948' 'GGOENEBQ078999' 'GGOEGDHC018299' 'GGOEGOAA017099'
 'GGOEGOCC017599' 'GGOEGOCR017899' 'GGOEGAAJ080613' 'GGOEGAAJ032614'
 'GGOEGADB056614' 'GGOEGAFB035814' 'GGOENEBJ081899' 'GGOENEBB081499'
 'GGOEAAYJ068824' 'GGOEGAYH068424' 'GGOEGFKQ020399' 'GGOEGPJC019099'
 'GGOEAAWT061753' 'GGOEGAWQ062953' 'GGOENEBQ081599' 'GGOEGAAB058913'
 'GGOEGBFC018799' 'GGOEGBJL013999' 'GGOEGFYQ016599' 'GGOEGGOA017399'
 'GGOEGOAQ015999' 'GGOEGOAR021999' 'GGOEGPJR018999' 'GGOEGBRJ037399'
 'GGOEGBMC056599' 'GGOENEBQ084699' 'GGOEAAAB081015' 'GGOEGAAB010515'
 'GGOEGAWN062749' 'GGOEAKDH019899' 'GGOEGOAR013099' 'GGOEGOXQ016399'
 'GGOEYFKQ020699' 'GGOEGDHJ023099' 'GGOEGFKA022299' 'GGOEGOCB078299'
 'GGOENEBQ079099' 'GGOEGOCR078499' 'GGOEGALP034314' 'GGOEAAAJ032915'
 'GGOEADHH055999' 'GGOEAFKQ020599' 'GGOEGOAQ012899' 'GGOEYAAB031817'
 'GGOEGAAB058916' 'GGOENEBD084799']","['Google' 'Drinkware' 'Lifestyle' 'Nest-USA' 'Apparel' 'Office'
 'Nest-Canada' 'Bags' 'Notebooks & Journals' 'Bottles']",['Google' 'Other' 'Android' 'YouTube']
7,12373,"['Google Twill Cap' 'Google Metallic Notebook Set'
 'Android BTTF Cosmos Graphic Tee'
 ""Google Men's 100% Cotton Short Sleeve Hero Tee Black""
 ""Google Women's Performance Golf Polo Blue"" 'Maze Pen'
 'Four Color Retractable Pen' 'Google Large Standard Journal Navy'
 'Nest Cam Outdoor Security Camera - USA'
 'Nest Protect Smoke + CO White Wired Alarm-USA' 'Google Tee Blue'
 'YouTube Tee Black']","['GGOEGHPB071610' 'GGOEGOLC014299' 'GGOEAAAB034814' 'GGOEGAAB010513'
 'GGOEGAUC057713' 'GGOEGAUC057714' 'GGOEGGOA017399' 'GGOEGOAQ020099'
 'GGOEGOCL087799' 'GGOENEBQ078999' 'GGOENEBQ079199' 'GGOEGAEC090715'
 'GGOEYAEB091814']",['Apparel' 'Office' 'Nest-USA'],['Google' 'Android' 'Other' 'YouTube']
8,12377,"['Nest Cam Indoor Security Camera - USA'
 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel'
 'Nest Protect Smoke + CO White Battery Alarm-USA' 'Sport Bag'
 'Google Sunglasses' 'Spiral Notebook and Pen Set'
 ""Google Women's Vintage Hero Tee Lavender""
 'Google Canvas Tote Natural/Navy' 'Waterproof Gear Bag'
 'Google Youth Short Sleeve T-shirt Royal Blue'
 'Google 22 oz Water Bottle' 'Rubber Grip Ballpoint Pen 4 Pack'
 'Pen Pencil & Highlighter Set' 'Nest Cam Outdoor Security Camera - USA'
 'Nest Learning Thermostat 3rd Gen-USA - White'
 'Recycled Paper Journal Set' 'Google Youth Short Sleeve T-shirt Green'
 'Google Youth Sports Tee Navy'
 ""YouTube Men's Short Sleeve Hero Tee White""
 ""Google Men's Short Sleeve Performance Badge Tee Navy""
 ""Google Women's Vintage Hero Tee Black""
 ""Google Men's Short Sleeve Hero Tee Light Blue""
 ""Google Men's Bayside Graphic Tee"" ""Google Men's Vintage Badge Tee Sage""
 ""Google Men's Short Sleeve Badge Tee Charcoal""
 ""Google Men's Skater Tee Grey"" ""Google Men's Long & Lean Tee Charcoal""
 ""Google Men's Short Sleeve Performance Badge Tee Pewter""
 'Switch Tone Color Crayon Pen' 'Ballpoint Pen Blue'
 'Google Crewneck Sweatshirt Navy' 'Nest Cam IQ Outdoor - USA (Preorder)'
 'Google Trike Tee Black' 'Google Protector Tee Navy' 'Google Tee Blue'
 ""Google Women's Short Sleeve Hero Tee Heather""
 'Nest Protect Smoke + CO White Wired Alarm-USA' 'Nest Cam IQ - USA'
 'Google Laptop and Cell Phone Stickers' 'Google Metallic Notebook Set'
 'Nest Secure Alarm System Starter Pack - USA' '25L Classic Rucksack'
 'Nest Thermostat E - USA' 'Nest Learning Thermostat 3rd Gen-USA - Copper'
 'Google Rucksack' ""Google Men's 100% Cotton Short Sleeve Hero Tee Red""
 ""Google Women's Short Sleeve Badge Tee Grey"" 'Waze Dress Socks']","['GGOENEBB078899' 'GGOENEBJ079499' 'GGOENEBQ079099' 'GGOEGBMJ013399'
 'GGOEGHGH019699' 'GGOEGOLC013299' 'GGOEGALP034316' 'GGOEGBJL013999'
 'GGOEGBMC056599' 'GGOEGAYC068326' 'GGOEGDHR018499' 'GGOEGOAA017199'
 'GGOEGOAQ018099' 'GGOENEBQ078999' 'GGOENEBQ084699' 'GGOEGHGC019799'
 'GGOEGHGR019499' 'GGOEGHGT019599' 'GGOEGOCR017899' 'GGOEGAYH068456'
 'GGOEGAYL068156' 'GGOEYAAQ031716' 'GGOEGAAL059013' 'GGOEGALB034113'
 'GGOEGAAC032115' 'GGOEGAAC035013' 'GGOEGAAC035015' 'GGOEGAAH034013'
 'GGOEGAAH034014' 'GGOEGAAJ032615' 'GGOEGAAJ032715' 'GGOEGAAJ032815'
 'GGOEGAAJ059114' 'GGOEGAAH034015' 'GGOEGKAA019299' 'GGOEGOAC021799'
 'GGOEGAEL091316' 'GGOENEBQ092399' 'GGOEGAXB089228' 'GGOEGAXL089428'
 'GGOEGAEC090715' 'GGOEGALJ073314' 'GGOENEBQ079199' 'GGOENEBQ086499'
 'GGOEGFKQ020399' 'GGOEGOLC014299' 'GGOENEBQ092299' 'GGOEGBRB079599'
 'GGOENEBQ086799' 'GGOENEBD084799' 'GGOEGBRJ037399' 'GGOEGAAR010717'
 'GGOEGAEC090716' 'GGOEGAEJ028115' 'GGOEWAEA083899']","['Nest-USA' 'Bags' 'Lifestyle' 'Office' 'Apparel' 'Drinkware' 'Nest'
 'Backpacks' 'Waze']",['Google' 'Other' 'YouTube']
9,12383,"[""Google Men's Vintage Badge Tee Black""
 'Nest Cam Indoor Security Camera - USA'
 'Nest Cam Outdoor Security Camera - USA'
 'Google Womens 3/4 Sleeve Baseball Raglan Heather/Black'
 ""Google Women's Scoop Neck Tee Black""
 ""Google Women's Long Sleeve Tee Lavender""
 ""Google Women's Scoop Neck Tee White""
 'Nest Learning Thermostat 3rd Gen-USA - White'
 'Nest Protect Smoke + CO White Battery Alarm-USA'
 'Google Metallic Notebook Set'
 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel'
 'Google Leather Journal-Brown' 'Google Leather Perforated Journal'
 ""Google Women's Yoga Jacket Black""
 ""Google Women's Convertible Vest-Jacket Black"" 'Google RFID Journal'
 'Gift Card - $25.00' ""Google Men's  Zip Hoodie""
 ""Google Men's Short Sleeve Hero Tee Light Blue""
 'Google Zipper-front Sports Bag'
 ""Google Men's Short Sleeve Performance Badge Tee Pewter""
 ""Google Men's 100% Cotton Short Sleeve Hero Tee White""
 ""Google Men's Airflow 1/4 Zip Pullover Lapis"" 'Yoga Mat Purple'
 'Android Twill Cap' 'Google Tri-blend Hoodie Grey' '25L Classic Rucksack'
 'Google Alpine Style Backpack' 'Waze Mobile Phone Vent Mount'
 'Foam Can and Bottle Cooler' ""Google Men's Long & Lean Tee Charcoal""
 ""Google Women's Short Sleeve Badge Tee Navy""
 'Google Infant Short Sleeve Tee Red'
 ""Google Women's Vintage Hero Tee Black""
 ""Google Women's Vintage Hero Tee Platinum"" 'Android Stretch Fit Hat'
 'Google Toddler Short Sleeve Tee White'
 'Google Youth Baseball Raglan Heather/Black'
 'Switch Tone Color Crayon Pen' 'You Tube Toddler Short Sleeve Tee Red'
 'YouTube Youth Short Sleeve Tee Red' 'Google Hard Cover Journal'
 ""Android Men's Take Charge Short Sleeve Tee Purple""
 'Android RFID Journal' 'Google Stylus Pen w/ LED Light'
 ""Google Men's Vintage Tank""]","['GGOEGAAB033814' 'GGOENEBB078899' 'GGOENEBQ078999' 'GGOEGAEA030413'
 'GGOEGALB036513' 'GGOEGALP036313' 'GGOEGALQ036613' 'GGOENEBQ084699'
 'GGOENEBQ079099' 'GGOEGOLC014299' 'GGOENEBJ079499' 'GGOEGOCD078199'
 'GGOEGOCD078399' 'GGOEGAPB058612' 'GGOEGATB060613' 'GGOEGOCC077299'
 'GGOEGGCX056299' 'GGOEGAFB035814' 'GGOEGAAC032114' 'GGOEGBMB073799'
 'GGOEGAAJ059115' 'GGOEGAAQ010415' 'GGOEGADC059315' 'GGOEGBRP037599'
 'GGOEAHPJ074410' 'GGOEGAEJ031316' 'GGOEGBRB079599' 'GGOEGBRJ037299'
 'GGOEWEBB082699' 'GGOEGFYQ016599' 'GGOEGAAJ032815' 'GGOEGALB036514'
 'GGOEGALL074613' 'GGOEGAWR061848' 'GGOEGAAQ010416' 'GGOEGALB034114'
 'GGOEGALJ034414' 'GGOEAHPB076113' 'GGOEGAXQ067155' 'GGOEGAYB068024'
 'GGOEGKAA019299' 'GGOEYAXR066155' 'GGOEYAYR068624' 'GGOEGAAJ059116'
 'GGOEGALQ036614' 'GGOEGOCL077699' 'GGOEAAAP081217' 'GGOEAOCB077499'
 'GGOEGOAR013099' 'GGOEGAER035516']","['Apparel' 'Nest-USA' 'Office' 'Notebooks & Journals' 'Gift Cards' 'Bags'
 'Lifestyle' 'Backpacks' 'Waze' 'Drinkware']",['Google' 'Other' 'Android' 'YouTube']
10,12386,"[""Google Men's Quilted Insulated Vest Battleship Grey""
 'Google Infant Short Sleeve Tee White'
 'Google Toddler Raglan Shirt Blue Heather/Navy' 'Insulated Bottle'
 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel'
 'Nest Protect Smoke + CO White Battery Alarm-USA'
 'Nest Cam Indoor Security Camera - USA'
 'Google Youth Short Sleeve Tee White' '8 pc Android Sticker Sheet']","['GGOEGADJ059714' 'GGOEGAWQ062249' 'GGOEGAXL065929' 'GGOEGDHC022999'
 'GGOEGDHJ023099' 'GGOENEBJ079499' 'GGOENEBQ079099' 'GGOENEBB078899'
 'GGOEGAYQ069056' 'GGOEAFKQ020499']",['Apparel' 'Drinkware' 'Nest-USA' 'Office'],['Google' 'Other' 'Android']
11,12388,"['Nest Protect Smoke + CO White Battery Alarm-USA'
 ""Google Men's 100% Cotton Short Sleeve Hero Tee Navy""
 ""Google Men's Bike Short Sleeve Tee Charcoal""
 'Nest Cam Outdoor Security Camera - USA'
 '26 oz Double Wall Insulated Bottle' 'Google Tote Bag'
 'Google Sunglasses' 'Google Hard Cover Journal'
 '22 oz YouTube Bottle Infuser' 'Nest Cam Indoor Security Camera - USA'
 ""Google Men's Vintage Badge Tee White""
 'Google Laptop and Cell Phone Stickers'
 ""Android Women's Long Sleeve Blended Cardigan Grey""
 ""Google Men's Long & Lean Tee Charcoal""
 ""Google Women's Scoop Neck Tee Black""]","['GGOENEBQ079099' 'GGOEGAAL010615' 'GGOEGAAJ080615' 'GGOENEBQ078999'
 'GGOEGDHQ015399' 'GGOEGBJC014399' 'GGOEGHGC019799' 'GGOEGHGH019699'
 'GGOEGHGR019499' 'GGOEGHGT019599' 'GGOEGOCL077699' 'GGOEYDHJ056099'
 'GGOENEBB078899' 'GGOEGAAQ033914' 'GGOEGFKQ020399' 'GGOEAAEJ030913'
 'GGOEGAAJ032814' 'GGOEGALB036513']","['Nest-USA' 'Apparel' 'Drinkware' 'Bags' 'Lifestyle'
 'Notebooks & Journals' 'Bottles' 'Office']",['Google' 'Other' 'YouTube' 'Android']
12,12393,"[""Google Men's Vintage Badge Tee White""
 ""Google Women's Short Sleeve Hero Tee Grey""
 ""Google Women's Short Sleeve Badge Tee Grey""
 ""Google Women's Scoop Neck Tee White"" 'Sport Bag'
 'You Tube Toddler Short Sleeve Tee Red'
 'YouTube Youth Short Sleeve Tee Red' '22 oz YouTube Bottle Infuser'
 'YouTube Custom Decals' 'Nest Cam Outdoor Security Camera - USA'
 'Nest Cam IQ - USA' ""Google Men's Vintage Badge Tee Sage""
 'Foam Can and Bottle Cooler'
 'Nest Protect Smoke + CO White Battery Alarm-USA' 'Leatherette Journal'
 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel'
 '26 oz Double Wall Insulated Bottle']","['GGOEGAAQ033915' 'GGOEGAEJ028013' 'GGOEGAEJ028114' 'GGOEGALQ036614'
 'GGOEGBMJ013399' 'GGOEYAXR066155' 'GGOEYAYR068624' 'GGOEYDHJ056099'
 'GGOEYFKQ020699' 'GGOENEBQ078999' 'GGOENEBQ086499' 'GGOEGAAH034015'
 'GGOEGFYQ016599' 'GGOENEBQ079099' 'GGOEGOCB017499' 'GGOENEBJ079499'
 'GGOEGDHQ015399']",['Apparel' 'Bags' 'Bottles' 'Office' 'Nest-USA' 'Nest' 'Drinkware'],['Google' 'Other' 'YouTube']
13,12395,"['Google 22 oz Water Bottle' 'Bottle Opener Clip' 'Google Kick Ball'
 'Galaxy Screen Cleaning Cloth' 'Google Metallic Notebook Set'
 'Nest Cam Indoor Security Camera - USA'
 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel'
 'Nest Protect Smoke + CO White Battery Alarm-USA'
 'Nest Cam Outdoor Security Camera - USA' 'Android Onesie Gold'
 'Google Infant Zip Hood Royal Blue'
 'Google Toddler Short Sleeve T-shirt Royal Blue'
 'Google Canvas Tote Natural/Navy' 'Google Twill Cap'
 ""Android Men's Pep Rally Short Sleeve Tee Navy""
 ""Android Men's Vintage Henley""
 ""Android Women's Long Sleeve Blended Cardigan Grey""
 ""Google Men's Long Sleeve Raglan Ocean Blue"" 'Compact Selfie Stick'
 'Nest Learning Thermostat 3rd Gen-USA - Copper'
 ""YouTube Men's Short Sleeve Hero Tee Charcoal""
 'Android Toddler Short Sleeve T-shirt Pewter'
 'Android Toddler Short Sleeve T-shirt Pink'
 ""Google Men's Vintage Badge Tee Black""
 ""Google Men's Short Sleeve Hero Tee Light Blue""
 ""Google Men's Short Sleeve Hero Tee Heather""
 ""Google Men's Bike Short Sleeve Tee Charcoal""
 'Nest Protect Smoke + CO White Wired Alarm-USA']","['GGOEGDHR018499' 'GGOEGFAQ016699' 'GGOEGFSR022099' 'GGOEGOFH020299'
 'GGOEGOLC014299' 'GGOENEBB078899' 'GGOENEBJ079499' 'GGOENEBQ079099'
 'GGOENEBQ078999' 'GGOEAAWT061753' 'GGOEGAWC062848' 'GGOEGAXC065255'
 'GGOEGBJL013999' 'GGOEGHPB071610' 'GGOEAAAL081117' 'GGOEAAEH035217'
 'GGOEAAEJ030917' 'GGOEGAEC033117' 'GGOEGFQB013799' 'GGOENEBD084799'
 'GGOEYAAJ032514' 'GGOEAAXJ066229' 'GGOEAAXN066355' 'GGOEGAAB033814'
 'GGOEGAAB033815' 'GGOEGAAC032115' 'GGOEGAAJ073413' 'GGOEGAAJ073414'
 'GGOEGAAJ080615' 'GGOENEBQ079199']",['Drinkware' 'Lifestyle' 'Office' 'Nest-USA' 'Apparel' 'Bags'],['Google' 'Other' 'Android' 'YouTube']
14,12402,"['Red Shine 15 oz Mug' 'Nest Learning Thermostat 3rd Gen-USA - White'
 'Nest Cam Indoor Security Camera - USA'
 ""Google Men's 100% Cotton Short Sleeve Hero Tee Black""
 'Google 22 oz Water Bottle' 'Google 17oz Stainless Steel Sport Bottle'
 'Google Twill Cap' 'Google Metallic Notebook Set'
 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel'
 ""Google Women's Short Sleeve Hero Tee Grey""
 ""Google Women's Lightweight Microfleece Jacket""]","['GGOEGDWR015799' 'GGOENEBQ084699' 'GGOENEBB078899' 'GGOEGAAB010514'
 'GGOEGDHC018299' 'GGOEGDHC074099' 'GGOEGHPB071610' 'GGOEGOLC014299'
 'GGOENEBJ079499' 'GGOEGAEJ028014' 'GGOEGAPB058213']",['Drinkware' 'Nest-USA' 'Apparel' 'Office'],['Other' 'Google']
